feature_idx,u_statistic,p_value,effect_size,abs_effect_size,mean_low_progress,mean_high_progress,std_low_progress,std_high_progress,direction,adjusted_p,significant,composite_score
9024,1124992.0,0.004632946569472551,-0.005347593582887722,0.005347593582887722,0.00040868273936212063,0.0,0.005976452492177486,0.0,higher_in_high_progress,0.009451813988262331,True,0.010826122106271357
773,1124992.0,0.004632946569472551,-0.005347593582887722,0.005347593582887722,0.0002608500944916159,0.0,0.0035772204864770174,0.0,higher_in_high_progress,0.009451813988262331,True,0.010826122106271357
16042,1113024.0,0.004632946569472551,0.005347593582887722,0.005347593582887722,0.0,0.00011702733172569424,0.0,0.0016306617762893438,higher_in_low_progress,0.009451813988262331,True,0.010826122106271357
1422,1124992.0,0.004632946569472551,-0.005347593582887722,0.005347593582887722,0.0001518066128483042,0.0,0.002116496441885829,0.0,higher_in_high_progress,0.009451813988262331,True,0.010826122106271357
14658,1124992.0,0.004632946569472551,-0.005347593582887722,0.005347593582887722,0.00022160509251989424,0.0,0.0030857364181429148,0.0,higher_in_high_progress,0.009451813988262331,True,0.010826122106271357
8750,1113024.0,0.004632946569472551,0.005347593582887722,0.005347593582887722,0.0,0.00011700786126311868,0.0,0.0016108285635709763,higher_in_low_progress,0.009451813988262331,True,0.010826122106271357
3950,1124992.0,0.004632946569472551,-0.005347593582887722,0.005347593582887722,0.00024501211009919643,0.0,0.0033978931605815887,0.0,higher_in_high_progress,0.009451813988262331,True,0.010826122106271357
2167,1113024.0,0.004632946569472551,0.005347593582887722,0.005347593582887722,0.0,0.00015905810869298875,0.0,0.002198603004217148,higher_in_low_progress,0.009451813988262331,True,0.010826122106271357
2141,1124992.0,0.004632946569472551,-0.005347593582887722,0.005347593582887722,0.00017703308549243957,0.0,0.002523219445720315,0.0,higher_in_high_progress,0.009451813988262331,True,0.010826122106271357
8689,1124992.0,0.004632946569472551,-0.005347593582887722,0.005347593582887722,0.00011772170546464622,0.0,0.0016374244587495923,0.0,higher_in_high_progress,0.009451813988262331,True,0.010826122106271357
10807,1113024.0,0.004632946569472551,0.005347593582887722,0.005347593582887722,0.0,0.00022802609601058066,0.0,0.003151725744828582,higher_in_low_progress,0.009451813988262331,True,0.010826122106271357
5575,1124992.0,0.004632946569472551,-0.005347593582887722,0.005347593582887722,0.00013233009667601436,0.0,0.001811496214941144,0.0,higher_in_high_progress,0.009451813988262331,True,0.010826122106271357
12298,1113024.0,0.004632946569472551,0.005347593582887722,0.005347593582887722,0.0,0.00013132340973243117,0.0,0.001818882767111063,higher_in_low_progress,0.009451813988262331,True,0.010826122106271357
3688,1113024.0,0.004632946569472551,0.005347593582887722,0.005347593582887722,0.0,0.00010083356755785644,0.0,0.0013877958990633488,higher_in_low_progress,0.009451813988262331,True,0.010826122106271357
2381,1124992.0,0.004632946569472551,-0.005347593582887722,0.005347593582887722,0.00032905919943004847,0.0,0.004537538625299931,0.0,higher_in_high_progress,0.009451813988262331,True,0.010826122106271357
15853,1124992.0,0.004632946569472551,-0.005347593582887722,0.005347593582887722,0.0002029687602771446,0.0,0.0028917945455759764,0.0,higher_in_high_progress,0.009451813988262331,True,0.010826122106271357
6990,1113024.0,0.004632946569472551,0.005347593582887722,0.005347593582887722,0.0,0.0001489708956796676,0.0,0.0020894454792141914,higher_in_low_progress,0.009451813988262331,True,0.010826122106271357
