episode_id,suite,success,reward_positive,object_lift,semantic_any,first_success_stage,reward_sum,eef_displacement,eef_path_length,object_motion,f10609,f11471,f1972,f9215,f11070,f3154,f11183,f9998,f15966,f1528,f5981,f15118,f14915,f1457,f8150,f13328,f15790,f15872,f3212,f15030
chunk_01_rollout_000046,spatial,0,0,1,1,,0.0,0.4114190936088562,1.3753033876419067,0.21733663976192474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000047,spatial,0,0,0,0,,0.0,0.3948077857494354,1.0125060081481934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000048,spatial,1,1,1,1,1.0,1.0,0.41665419936180115,0.7594199180603027,0.1427730768918991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000049,goal,0,0,0,0,,0.0,0.23013107478618622,1.7962968349456787,0.019043898209929466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000050,goal,0,0,1,1,,0.0,0.36917808651924133,1.3665592670440674,0.055000633001327515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000051,object,1,1,1,1,1.0,1.0,0.2826862931251526,1.151303768157959,0.36882320046424866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000052,long,0,0,0,0,,0.0,0.3339993357658386,0.7669544219970703,0.008375469595193863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000053,long,0,0,0,0,,0.0,0.23604096472263336,1.773578405380249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000054,object,1,1,1,1,1.0,1.0,0.30058786273002625,1.0129631757736206,0.3820011019706726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000055,long,0,0,0,0,,0.0,0.2711943984031677,1.6856411695480347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000056,object,0,0,1,1,,0.0,0.17105165123939514,0.9492910504341125,0.1475360244512558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000057,goal,0,0,0,0,,0.0,0.2917669117450714,1.2390719652175903,0.03457168862223625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000058,spatial,1,1,1,1,1.0,1.0,0.43116021156311035,0.8412923216819763,0.22012989223003387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000059,long,0,0,0,0,,0.0,0.33961495757102966,1.3352956771850586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
