feature_set,suite,task_idx,n,baseline_success_rate,clamped_success_rate,success_delta,baseline_any_violation_rate,clamped_any_violation_rate,any_violation_delta,mean_action_delta_active_l2,mean_action_delta_active_translation_l2,mean_action_delta_active_rotation_l2,mean_action_delta_active_gripper_abs,success_delta_ci95_low,success_delta_ci95_high,any_violation_delta_ci95_low,any_violation_delta_ci95_high,action_delta_active_mean_l2_ci95_low,action_delta_active_mean_l2_ci95_high
robust20_goal1_mild_alpha1p0_start0_n128_random02,goal,1,128,1.0,1.0,0.0,1.0,1.0,0.0,0.1827963242540136,0.13734382280381396,0.034450349397957325,0.04197838332038373,0.0,0.0,0.0,0.0,0.1826065182685852,0.18298614025115967
robust20_goal1_mild_alpha1p0_start0_n128_random03,goal,1,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.2124311935622245,0.18129602435510606,0.04783872817642987,0.01984015732887201,0.0,0.0,-0.640625,-0.46875,0.20949240028858185,0.2156638205051422
robust20_goal1_mild_alpha1p0_start0_n128_random04,goal,1,128,1.0,1.0,0.0,1.0,0.0,-1.0,0.28362647083122283,0.245508951600641,0.03981290076626465,0.03750214207684621,0.0,0.0,-1.0,-1.0,0.27187299728393555,0.29537996649742126
robust20_goal1_mild_alpha1p0_start0_n128_random05,goal,1,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.20541392476297915,0.1672304462408647,0.036930274771293625,0.03247233634465374,0.0,0.0,-0.640625,-0.46875,0.2053467333316803,0.20548106729984283
robust20_goal1_mild_alpha1p0_start0_n128_random06,goal,1,128,1.0,1.0,0.0,1.0,0.0,-1.0,0.20889328606426716,0.1797109170584008,0.03824653511401266,0.02269283856730908,0.0,0.0,-1.0,-1.0,0.20871037244796753,0.20907628536224365
robust20_goal1_mild_alpha1p0_start0_n128_random07,goal,1,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.23760454368311912,0.1938161412253976,0.0404830158513505,0.04262104669760447,0.0,0.0,-0.640625,-0.46875,0.23579606413841248,0.23941709101200104
submitted20_goal1_all_alpha1p0_start20_n160,goal,1,160,0.8875,0.8875,0.0,1.0,1.0,0.0,0.2512669858522713,0.1995552190579474,0.042745425808243455,0.0509905761689879,0.0,0.0,0.0,0.0,0.24345776438713074,0.25905320048332214
submitted20_goal1_all_alpha1p0_start20_n160_random00,goal,1,160,0.8875,1.0,0.1125,1.0,0.66875,-0.33125,0.22675816649571062,0.1772193313576281,0.03823901766445488,0.050751351763028654,0.06875000149011612,0.16249999403953552,-0.40625,-0.2562499940395355,0.21964694559574127,0.23390184342861176
submitted20_goal1_all_alpha1p0_start20_n160_random01,goal,1,160,0.8875,1.0,0.1125,1.0,0.8375,-0.1625,0.20075538526289166,0.1616061868611723,0.03835572764510289,0.03589799511246383,0.06875000149011612,0.16249999403953552,-0.2189062535762787,-0.11249999701976776,0.18897168338298798,0.2122553139925003
submitted20_goal1_all_alpha1p0_start20_n160_random02,goal,1,160,0.8875,1.0,0.1125,1.0,1.0,0.0,0.19607433934579604,0.15288193514570594,0.038145769882248715,0.03845125939697027,0.06875000149011612,0.16249999403953552,0.0,0.0,0.18280337750911713,0.20872488617897034
submitted20_goal1_all_alpha1p0_start20_n160_random03,goal,1,160,0.8875,0.8875,0.0,1.0,0.50625,-0.49375,0.18634648486040534,0.15096567063592375,0.03604700840078294,0.03428939909208566,0.0,0.0,-0.5687500238418579,-0.41874998807907104,0.17378336191177368,0.19923728704452515
submitted20_goal1_all_alpha1p0_start20_n160_random04,goal,1,160,0.8875,0.8875,0.0,1.0,0.45,-0.55,0.22393570421263576,0.177572332136333,0.036301075504161416,0.05130200674757361,0.0,0.0,-0.625,-0.46875,0.20834071934223175,0.2395986020565033
submitted20_goal1_all_alpha1p0_start20_n160_random05,goal,1,160,0.8875,0.8875,0.0,1.0,0.50625,-0.49375,0.2018138889223337,0.1548720599617809,0.0385825699660927,0.044590816053096206,0.0,0.0,-0.574999988079071,-0.41874998807907104,0.19455482065677643,0.20908960700035095
submitted20_goal1_all_alpha1p0_start20_n160_random06,goal,1,160,0.8875,1.0,0.1125,1.0,0.66875,-0.33125,0.2482944685034454,0.20299107041209935,0.041532270098105076,0.0421170374029316,0.06875000149011612,0.16249999403953552,-0.40625,-0.2623443603515625,0.23905202746391296,0.2575584053993225
submitted20_goal1_all_alpha1p0_start20_n160_random07,goal,1,160,0.8875,0.8875,0.0,1.0,0.50625,-0.49375,0.20638267183676362,0.17667893096804618,0.03503752499818802,0.0300010489532724,0.0,0.0,-0.5687500238418579,-0.41874998807907104,0.19346927106380463,0.21929959952831268
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128,goal,1,128,0.8828125,1.0,0.1171875,1.0,0.5078125,-0.4921875,0.2505687811644748,0.16605805477593094,0.03674294054508209,0.08994322823127732,0.0625,0.171875,-0.578125,-0.40625,0.2353854775428772,0.26620030403137207
