feature_set,is_random_control,suite,task_idx,condition,plan_index,baseline_success,clamped_success,baseline_any_violation,clamped_any_violation,baseline_collision,clamped_collision,action_delta_active_mean_l2,action_delta_active_translation_mean_l2,action_delta_active_rotation_mean_l2,action_delta_active_gripper_mean_abs,action_delta_active_fraction,success_delta,any_violation_delta,collision_delta
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,61,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,62,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,63,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,64,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,65,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,66,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,67,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,68,0,0,1,1,1,1,0.2788101136684418,0.16685296595096588,0.0481363907456398,0.12142857164144516,0.9333333333333333,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,69,0,0,1,1,1,1,0.2788101136684418,0.16685296595096588,0.0481363907456398,0.12142857164144516,0.9333333333333333,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,70,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,71,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,72,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,73,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,74,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
