group_col,group,method,high_episode,low_episode,progress_gap,score_delta_high_minus_low,correct
task_key,goal:5,submitted20_sae_ridge,rollout_000677,rollout_000352,0.22105007171645064,0.004978179931640625,1.0
task_key,goal:5,full_sae_ridge,rollout_000383,rollout_000362,0.33278571556982733,-0.08733180165290833,0.0
task_key,goal:5,motion_ridge,rollout_000383,rollout_000362,0.33278571556982733,0.27577531337738037,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000383,rollout_000362,0.33278571556982733,0.04027581214904785,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000383,rollout_000362,0.33278571556982733,-0.016848862171173096,0.0
task_key,goal:5,full_sae_ridge,rollout_000597,rollout_000362,0.3753263920023811,-0.07993650436401367,0.0
task_key,goal:5,motion_ridge,rollout_000597,rollout_000362,0.3753263920023811,0.3060424327850342,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000597,rollout_000362,0.3753263920023811,-0.1210220456123352,0.0
task_key,goal:5,raw_pca20_ridge,rollout_000597,rollout_000362,0.3753263920023811,-0.0677831768989563,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000597,rollout_000362,0.3753263920023811,0.007902741432189941,1.0
task_key,goal:5,submitted20_sae_ridge,rollout_000597,rollout_000362,0.3753263920023811,0.006632030010223389,1.0
task_key,goal:5,full_sae_ridge,rollout_000607,rollout_000362,0.2803319108065985,0.03969535231590271,1.0
task_key,goal:5,motion_ridge,rollout_000607,rollout_000362,0.2803319108065985,0.21152615547180176,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000607,rollout_000362,0.2803319108065985,-0.09074866771697998,0.0
task_key,goal:5,raw_pca20_ridge,rollout_000607,rollout_000362,0.2803319108065985,-0.12361127138137817,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000607,rollout_000362,0.2803319108065985,-0.005123615264892578,0.0
task_key,goal:5,submitted20_sae_ridge,rollout_000607,rollout_000362,0.2803319108065985,-0.0012784600257873535,0.0
task_key,goal:5,full_sae_ridge,rollout_000677,rollout_000362,0.38522346192683105,0.12440893054008484,1.0
task_key,goal:5,motion_ridge,rollout_000677,rollout_000362,0.38522346192683105,0.30634093284606934,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000677,rollout_000362,0.38522346192683105,0.06343287229537964,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000677,rollout_000362,0.38522346192683105,-0.07536709308624268,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000677,rollout_000362,0.38522346192683105,0.007902741432189941,1.0
task_key,goal:5,submitted20_sae_ridge,rollout_000677,rollout_000362,0.38522346192683105,0.006632030010223389,1.0
task_key,goal:5,full_sae_ridge,rollout_000703,rollout_000362,0.2641137821898097,-0.01850411295890808,0.0
task_key,goal:5,motion_ridge,rollout_000703,rollout_000362,0.2641137821898097,0.22020530700683594,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000703,rollout_000362,0.2641137821898097,-0.020914733409881592,0.0
task_key,goal:5,raw_pca20_ridge,rollout_000703,rollout_000362,0.2641137821898097,-0.07035711407661438,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000703,rollout_000362,0.2641137821898097,-0.0014008283615112305,0.0
task_key,goal:5,submitted20_sae_ridge,rollout_000703,rollout_000362,0.2641137821898097,0.0016538500785827637,1.0
task_key,goal:5,full_sae_ridge,rollout_000383,rollout_000416,0.23369688912246256,-0.1463334560394287,0.0
task_key,goal:5,motion_ridge,rollout_000383,rollout_000416,0.23369688912246256,0.20853590965270996,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000383,rollout_000416,0.23369688912246256,-0.012363672256469727,0.0
task_key,goal:5,raw_pca20_ridge,rollout_000383,rollout_000416,0.23369688912246256,-0.036997318267822266,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000383,rollout_000416,0.23369688912246256,0.00603252649307251,1.0
task_key,goal:5,submitted20_sae_ridge,rollout_000383,rollout_000416,0.23369688912246256,0.0015420913696289062,1.0
task_key,goal:5,full_sae_ridge,rollout_000383,rollout_000428,0.27616643856549244,-0.2003757357597351,0.0
task_key,goal:5,motion_ridge,rollout_000383,rollout_000428,0.27616643856549244,0.2147202491760254,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000383,rollout_000428,0.27616643856549244,0.21598365902900696,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000383,rollout_000428,0.27616643856549244,-0.01934969425201416,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000383,rollout_000428,0.27616643856549244,0.005123615264892578,1.0
task_key,goal:5,submitted20_sae_ridge,rollout_000383,rollout_000428,0.27616643856549244,0.0012784600257873535,1.0
task_key,goal:5,full_sae_ridge,rollout_000383,rollout_000453,0.29495242383821063,-0.20409804582595825,0.0
task_key,goal:5,motion_ridge,rollout_000383,rollout_000453,0.29495242383821063,0.2531609535217285,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000383,rollout_000453,0.29495242383821063,0.07291382551193237,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000383,rollout_000453,0.29495242383821063,-0.08433067798614502,0.0
task_key,goal:5,full_sae_ridge,rollout_000383,rollout_000550,0.42364464799366475,-0.3043324947357178,0.0
task_key,goal:5,motion_ridge,rollout_000383,rollout_000550,0.42364464799366475,0.36499226093292236,1.0
