dictionary,feature_idx,u_statistic,p_value,effect_size,abs_effect_size,mean_low_progress,mean_high_progress,freq_low_progress,freq_high_progress,direction,adjusted_p,significant,composite_score
32K_d32768_k48,554,27962.0,9.662699250626986e-30,-0.5822770484382074,0.5822770484382074,0.00620473176240921,0.00038393179420381784,0.6382978723404256,0.09042553191489362,higher_in_low_progress,2.250335292146018e-27,True,15.516374829668212
32K_d32768_k48,13432,6514.0,2.2623371126768746e-26,0.6313942960615664,0.6313942960615664,0.005226267501711845,0.014758843928575516,0.6595744680851063,0.9574468085106383,higher_in_high_progress,2.7893285812769e-24,True,14.872177150575713
32K_d32768_k48,8038,7541.5,2.5991811057291434e-28,0.5732514712539611,0.5732514712539611,0.0007405059295706451,0.006421227473765612,0.09042553191489362,0.6648936170212766,higher_in_high_progress,4.9526214523711674e-26,True,14.506222989484707
32K_d32768_k48,5176,7758.0,4.484811815841196e-28,0.5610004526935265,0.5610004526935265,0.0005537163815461099,0.0059459013864398,0.0851063829787234,0.6276595744680851,higher_in_high_progress,7.833471305002622e-26,True,14.084503027229584
32K_d32768_k48,27685,7612.0,1.2526012530311105e-27,0.5692621095518334,0.5692621095518334,0.0008392343297600746,0.00624863151460886,0.10638297872340426,0.6648936170212766,higher_in_high_progress,1.8753230188237198e-25,True,14.076100870897957
32K_d32768_k48,26479,7664.0,1.4478365831423089e-27,0.5663196016296967,0.5663196016296967,0.002561259549111128,0.017062615603208542,0.09574468085106383,0.6648936170212766,higher_in_high_progress,2.0231103188441863e-25,True,13.984685162486139
32K_d32768_k48,19038,7864.5,5.415930061274181e-28,0.5549739701222273,0.5549739701222273,0.0005186184425838292,0.004799385089427233,0.06914893617021277,0.6223404255319149,higher_in_high_progress,8.732145698792834e-26,True,13.907025580178566
32K_d32768_k48,32734,7223.5,4.791255502245173e-25,0.5912460389316433,0.5912460389316433,0.001324582495726645,0.005199656821787357,0.35638297872340424,0.7819148936170213,higher_in_high_progress,4.782129301288516e-23,True,13.196835485208092
32K_d32768_k48,7550,26864.0,2.773597073242101e-27,-0.5201448619284745,0.5201448619284745,0.005568923428654671,0.00018104867194779217,0.5478723404255319,0.0425531914893617,higher_in_low_progress,3.6334121659471527e-25,True,12.712176753614393
32K_d32768_k48,18365,7837.0,4.863681575919112e-24,0.5565301041195111,0.5565301041195111,0.0009562844061292708,0.004054151941090822,0.21808510638297873,0.723404255319149,higher_in_high_progress,3.2884763171375673e-22,True,11.955939166104333
32K_d32768_k48,26320,8285.0,6.313227558289372e-25,0.5311792666364872,0.5311792666364872,0.0008013015612959862,0.00582848209887743,0.10638297872340426,0.6276595744680851,higher_in_high_progress,5.753271722684575e-23,True,11.813472100834991
32K_d32768_k48,28543,26622.5,4.197081754897157e-26,-0.5064791760977818,0.5064791760977818,0.007069957442581654,0.000205013231607154,0.5372340425531915,0.047872340425531915,higher_in_low_progress,4.887268532369134e-24,True,11.806502544020987
32K_d32768_k48,21561,8465.5,2.556720773967037e-25,0.520965368945224,0.520965368945224,0.0007526837289333344,0.007215775083750486,0.0797872340425532,0.5904255319148937,higher_in_high_progress,2.820466706439426e-23,True,11.747601851521416
32K_d32768_k48,2491,8234.5,1.3320484852046925e-24,0.5340368945224083,0.5340368945224083,0.0013775762636214495,0.0047371662221848965,0.10106382978723404,0.6648936170212766,higher_in_high_progress,1.1167894499956142e-22,True,11.723193234006358
32K_d32768_k48,3540,8198.0,2.962841872906447e-24,0.5361023087369851,0.5361023087369851,0.0012562349438667297,0.00679272273555398,0.13829787234042554,0.6595744680851063,higher_in_high_progress,2.141419505383418e-22,True,11.616960818293267
32K_d32768_k48,8961,8558.0,5.811629663076163e-25,0.5157311000452693,0.5157311000452693,0.0006394078955054283,0.0059739695861935616,0.0797872340425532,0.5851063829787234,higher_in_high_progress,5.536898079003471e-23,True,11.478489636275457
32K_d32768_k48,10607,8547.0,8.719303518543334e-25,0.5163535536441829,0.5163535536441829,0.000447053782409057,0.00441783806309104,0.09042553191489362,0.5851063829787234,higher_in_high_progress,7.614858406194512e-23,True,11.420882513597142
32K_d32768_k48,26674,7749.0,1.8345369955731762e-22,0.5615097329108194,0.5615097329108194,0.0018547573126852512,0.007569856476038694,0.4095744680851064,0.776595744680851,higher_in_high_progress,9.155213196955661e-21,True,11.25171818979793
32K_d32768_k48,20368,8906.0,2.984071916048009e-25,0.4960389316432775,0.4960389316432775,0.0002257830637972802,0.0048418547958135605,0.047872340425531915,0.5319148936170213,higher_in_high_progress,3.127307368018313e-23,True,11.163271548234162
32K_d32768_k48,3645,26453.0,1.7159610766423728e-24,-0.49688773200543235,0.49688773200543235,0.004986042622476816,0.0003616650647018105,0.5478723404255319,0.06382978723404255,higher_in_low_progress,1.3320942283860788e-22,True,10.86965021693729
32K_d32768_k48,1906,8830.0,4.7345337914670135e-24,0.5003395201448619,0.5003395201448619,0.00046328280586749315,0.0052983262576162815,0.0797872340425532,0.5638297872340425,higher_in_high_progress,3.2884763171375673e-22,True,10.748796553807273
32K_d32768_k48,29709,8923.0,8.054138915398357e-24,0.495076957899502,0.495076957899502,0.00039386851130984724,0.00578570831567049,0.07446808510638298,0.5585106382978723,higher_in_high_progress,5.115598535356047e-22,True,10.540734773702622
32K_d32768_k48,5201,9263.0,1.4989068996530404e-24,0.47583748302399276,0.47583748302399276,0.00011296433513052762,0.0025080544874072075,0.031914893617021274,0.5053191489361702,higher_in_high_progress,1.2083495621818356e-22,True,10.429314311827262
32K_d32768_k48,19503,9300.0,2.382855801381169e-24,0.4737437754640109,0.4737437754640109,0.0002212566032540053,0.003807144006714225,0.031914893617021274,0.5053191489361702,higher_in_high_progress,1.783737771319618e-22,True,10.303296559226009
