target,feature_idx,u_statistic,p_value,effect_size,abs_effect_size,mean_low_burden,mean_high_burden,freq_low_burden,freq_high_burden,direction,adjusted_p,significant,composite_score
total_burden_rate_within_suite_q25_q75,3342,17865.0,0.9864419209602737,-0.00027995520716683764,0.00027995520716683764,0.0006023083697073162,0.00047573662595823407,0.02127659574468085,0.021052631578947368,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,3316,17863.0,0.9894040774961113,-0.00016797312430005817,0.00016797312430005817,5.479217361425981e-05,4.9765509174903855e-05,0.010638297872340425,0.010526315789473684,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,12356,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,2.6259624064550735e-05,2.107695399899967e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,12342,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,1.9566088667488657e-05,2.6644505851436406e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,12321,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,1.990354030567687e-05,4.006543895229697e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,8205,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.0574128939188085e-05,2.5298561013187282e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,3550,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,2.2340360374073498e-05,2.0106170268263668e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,3523,17864.0,0.9851661270842238,-0.00022396416573355893,0.00022396416573355893,6.366844900185242e-05,4.430975968716666e-05,0.010638297872340425,0.010526315789473684,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,12259,17848.0,0.971562926313233,0.0006718924972004547,0.0006718924972004547,0.0001453260047128424,0.00017256155842915177,0.031914893617021274,0.031578947368421054,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,12247,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,2.327852234884631e-05,1.901877658383455e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,3365,17863.5,0.989590524901936,-0.00019596864501680855,0.00019596864501680855,6.992374255787581e-05,6.89462831360288e-05,0.015957446808510637,0.015789473684210527,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,10843,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.76073333225213e-05,4.876204184256494e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
