phase,feature_idx,n_phase_steps,n_other_steps,mean_activation_phase,mean_activation_other,delta_phase_minus_other,ratio_phase_over_other
gripper_action_negative,10609,725,23339,0.0002813214294869324,0.006396638543854091,-0.006115317114367158,0.04397957263932427
gripper_action_negative,11070,725,23339,0.00020932187551054462,0.005580815313825037,-0.005371493438314493,0.03750740057496678
gripper_action_negative,11183,725,23339,0.0007752818896852691,0.004562796596714627,-0.0037875147070293583,0.16991375207115283
gripper_action_negative,11471,725,23339,0.00021606985351134992,0.005346576843198919,-0.005130506989687569,0.040412746295080425
gripper_action_negative,13328,725,23339,0.004404326741551531,0.003992449962486325,0.00041187677906520583,1.1031639176283394
gripper_action_negative,14915,725,23339,0.00012561941712067046,0.0034446832116774182,-0.003319063794556748,0.036467625439350344
gripper_action_negative,15030,725,23339,7.358329049472152e-05,0.004983665085692113,-0.004910081795197392,0.01476489475706864
gripper_action_negative,15118,725,23339,0.00026484904361182243,0.0038155603607105096,-0.0035507113170986874,0.06941288266306024
gripper_action_negative,15790,725,23339,0.002283442878517611,0.0038095468561374093,-0.001526103977619798,0.5994001293982898
gripper_action_negative,15872,725,23339,0.0,0.0038422937826374983,-0.0038422937826374983,0.0
gripper_action_negative,15966,725,23339,0.00010836878470305739,0.00426475973667742,-0.004156390951974363,0.025410290706665953
gripper_action_positive,1457,23339,725,0.0034750022177353706,4.2067981999495936e-05,0.0034329342357358747,82.60444291758536
gripper_action_positive,1528,23339,725,0.0035507129172077166,0.00021021621751374212,0.0033404966996939743,16.89076589428978
gripper_action_positive,1972,23339,725,0.005224370339207702,0.00020423032600304177,0.00502014001320466,25.580776574434353
gripper_action_positive,3154,23339,725,0.006435799689882774,0.0029748682831895763,0.0034609314066931978,2.1633897965332696
gripper_action_positive,3212,23339,725,0.0032603902133888233,0.006249405587541646,-0.0029890153741528227,0.521712052085161
gripper_action_positive,5981,23339,725,0.006086542777580801,0.008368822657342614,-0.002282279879761813,0.727287818943159
gripper_action_positive,8150,23339,725,0.0025919962098482894,0.008672469327675885,-0.006080473117827596,0.29887637671736944
gripper_action_positive,9215,23339,725,0.009277234597070876,0.0,0.009277234597070876,927723.4597070876
gripper_action_positive,9998,23339,725,0.005506549482576399,0.001018621638931077,0.004487927843645322,5.4058830797614625
gripper_action_positive,10609,23339,725,0.006396638543854091,0.0002813214294869324,0.006115317114367158,22.73782895074909
gripper_action_positive,11070,23339,725,0.005580815313825037,0.00020932187551054462,0.005371493438314493,26.66140507394748
gripper_action_positive,11183,23339,725,0.004562796596714627,0.0007752818896852691,0.0037875147070293583,5.885338813430719
gripper_action_positive,11471,23339,725,0.005346576843198919,0.00021606985351134992,0.005130506989687569,24.744668246457014
gripper_action_positive,13328,23339,725,0.003992449962486325,0.004404326741551531,-0.00041187677906520583,0.9064836005059624
gripper_action_positive,14915,23339,725,0.0034446832116774182,0.00012561941712067046,0.003319063794556748,27.421582511949115
gripper_action_positive,15030,23339,725,0.004983665085692113,7.358329049472152e-05,0.004910081795197392,67.72821726489134
gripper_action_positive,15118,23339,725,0.0038155603607105096,0.00026484904361182243,0.0035507113170986874,14.40654762681646
gripper_action_positive,15790,23339,725,0.0038095468561374093,0.002283442878517611,0.001526103977619798,1.6683346415087597
gripper_action_positive,15872,23339,725,0.0038422937826374983,0.0,0.0038422937826374983,384229.3782637498
gripper_action_positive,15966,23339,725,0.00426475973667742,0.00010836878470305739,0.004156390951974363,39.35413457263861
late_third,1457,7896,16168,0.002629266524231656,0.0037340974499840605,-0.0011048309257524046,0.7041237031033776
late_third,1528,7896,16168,0.00418877479369755,0.0030893078773733614,0.0010994669163241883,1.355894252035182
late_third,1972,7896,16168,0.005131131517766902,0.005044794153193549,8.633736457335298e-05,1.0171141501420227
late_third,3154,7896,16168,0.009259176195203774,0.004901747478362042,0.004357428716841732,1.8889541405543397
late_third,3212,7896,16168,0.004299833541669956,0.0028867875183215905,0.0014130460233483652,1.4894873676639442
late_third,5981,7896,16168,0.00822911300557725,0.005142512495082493,0.003086600510494757,1.6002125446357798
late_third,8150,7896,16168,0.00466802193506752,0.0018507817049060553,0.002817240230161464,2.522189366089755
late_third,9215,7896,16168,0.007890646904636187,0.009538398707448655,-0.0016477518028124687,0.8272506892036586
late_third,9998,7896,16168,0.006701482776005157,0.004721731263158022,0.0019797515128471346,1.419285088987259
late_third,10609,7896,16168,0.005638990326659054,0.006492431803073279,-0.0008534414764142248,0.8685482570629025
late_third,11070,7896,16168,0.00666175436418647,0.00481204815125503,0.0018497062129314394,1.384390628437294
late_third,11183,7896,16168,0.005030437050625048,0.004164575593085671,0.0008658614575393769,1.2079110915832438
late_third,11471,7896,16168,0.004036764832606998,0.005756192013171107,-0.0017194271805641087,0.7012908574575382
late_third,13328,7896,16168,0.0044940242424924325,0.0037659643210893714,0.0007280599214030611,1.1933262929035018
late_third,14915,7896,16168,0.003551633500143991,0.003243619336814374,0.0003080141633296173,1.0949600219217228
late_third,15030,7896,16168,0.003789631570590303,0.00534662150168208,-0.0015569899310917765,0.708789946959601
late_third,15118,7896,16168,0.0031265716475133596,0.003992823421974002,-0.0008662517744606425,0.7830478128100195
late_third,15790,7896,16168,0.0038347336988029915,0.0037288132654977636,0.00010592043330522787,1.0284059366247422
late_third,15872,7896,16168,0.0031313136658275534,0.004017221789188658,-0.0008859081233611042,0.779472438951391
late_third,15966,7896,16168,0.002622234576080738,0.004880543706734941,-0.0022583091306542027,0.5372832892495496
middle_third,1457,7896,16168,0.003484426244145982,0.00331646130770032,0.00016796493644566238,1.050645830257592
middle_third,1528,7896,16168,0.0036544002242963817,0.003350281504290211,0.0003041187200061709,1.0907740796159162
middle_third,1972,7896,16168,0.0058690892877349705,0.004684396172511469,0.0011846931152235014,1.252901990266196
middle_third,3154,7896,16168,0.007678528505272733,0.005673691699026039,0.002004836806246694,1.353356670153729
middle_third,3212,7896,16168,0.0035036562046974053,0.003275618310796557,0.00022803789390084825,1.0696167478210838
middle_third,5981,7896,16168,0.006438147184168194,0.0060171702218171485,0.0004209769623510452,1.0699626147893673
middle_third,8150,7896,16168,0.0031654738272392127,0.0025845842691942984,0.0005808895580449143,1.2247516418669517
middle_third,9215,7896,16168,0.00961305039982937,0.008697224907470588,0.0009158254923587825,1.1053008864439189
middle_third,9998,7896,16168,0.006691003871256941,0.0047268488678025,0.001964155003454441,1.4155315852879324
middle_third,10609,7896,16168,0.006381907656726549,0.006129611711644967,0.00025229594508158204,1.0411601838665039
middle_third,11070,7896,16168,0.005867366531105163,0.005200004999969156,0.0006673615311360067,1.1283386325859235
middle_third,11183,7896,16168,0.004931111124027124,0.0042130836037497735,0.0007180275202773503,1.1704280256006037
middle_third,11471,7896,16168,0.005819042530307111,0.004885777323596633,0.0009332652067104777,1.1910167297643972
middle_third,13328,7896,16168,0.004535489770128054,0.0037457137145696486,0.0007897760555584058,1.2108479493471231
middle_third,14915,7896,16168,0.003461966747059482,0.0032874100766928553,0.00017455667036662655,1.0530985384525653
middle_third,15030,7896,16168,0.004749738688655235,0.004877731978906183,-0.00012799329025094813,0.973759671338143
middle_third,15118,7896,16168,0.0037599280557954703,0.0036835098272315764,7.641822856389391e-05,1.0207460362936855
middle_third,15790,7896,16168,0.004048302434686771,0.003624512254949871,0.0004237901797369001,1.116923367870572
middle_third,15872,7896,16168,0.0033965310739521256,0.0038876970084766567,-0.0004911659345245311,0.8736614675851532
middle_third,15966,7896,16168,0.003681685919179878,0.004363137236849314,-0.0006814513176694359,0.8438162082287556
safety_active,1457,20982,3082,0.003865526727043052,8.791129090892734e-06,0.003856735597952159,439.7076515515608
safety_active,1528,20982,3082,0.003956843748565835,0.0,0.003956843748565835,395684.3748565835
safety_active,1972,20982,3082,0.005818303609432884,0.0,0.005818303609432884,581830.3609432884
safety_active,3154,20982,3082,0.00714850762207212,0.0007696046532022342,0.006378902968869886,9.288545219065428
safety_active,3212,20982,3082,0.003486700454456411,0.002422815478859514,0.0010638849755968969,1.4391110197536368
safety_active,5981,20982,3082,0.006280507536654891,0.005302923159778969,0.000977584376875922,1.1843482070965305
safety_active,8150,20982,3082,0.0031209382499401183,0.00042135413496777424,0.002699584114972344,7.406924463145026
safety_active,9215,20982,3082,0.01031938701082057,0.0,0.01031938701082057,1031938.701082057
safety_active,9998,20982,3082,0.006016353276271393,0.0009801215507297993,0.005036231725541594,6.138374645258654
safety_active,10609,20982,3082,0.007120265305300065,3.169966761281473e-05,0.007088565637687251,224.61640267867247
safety_active,11070,20982,3082,0.006214965540420727,0.0,0.006214965540420727,621496.5540420726
safety_active,11183,20982,3082,0.0048193766211020415,0.0019250580391893134,0.002894318581912728,2.503496789702815
safety_active,11471,20982,3082,0.005949509369021031,3.497793848670434e-05,0.005914531430534327,170.09319663829052
safety_active,13328,20982,3082,0.004160280128272121,0.0029467647341620915,0.0012135153941100294,1.411812785744869
safety_active,14915,20982,3082,0.003835980152261546,0.0,0.003835980152261546,383598.0152261546
safety_active,15030,20982,3082,0.005504797862335072,0.0002808042092999416,0.00522399365303513,19.60368712441597
safety_active,15118,20982,3082,0.004170599179114241,0.0005632273974906385,0.003607371781623603,7.404822985699238
safety_active,15790,20982,3082,0.004005334424592655,0.0021176454463053803,0.0018876889782872743,1.8914093629699404
safety_active,15872,20982,3082,0.004272863049049098,7.164859775596436e-06,0.0042656981892735014,596.3638065328928
safety_active,15966,20982,3082,0.0047475833983044525,0.0,0.0047475833983044525,474758.33983044524
safety_onset_window,1457,376,23688,0.001958305670067351,0.003394007645843048,-0.001435701975775697,0.5769891745723871
safety_onset_window,1528,376,23688,0.0,0.0035048334824556043,-0.0035048334824556043,0.0
safety_onset_window,1972,376,23688,0.00041447783959038713,0.005147070359060908,-0.004732592519470521,0.08052694264432192
safety_onset_window,3154,376,23688,0.0022929168127952737,0.006395633727873838,-0.004102716915078564,0.35851284022131297
