split,method,fold,n_train,n_test,train_groups,test_groups,test_positive_rate,fold_auroc,fold_pr_auc,selected_features
instruction_heldout,suite_only,2,340,36,47,10,0.7222222222222222,0.8307692307692307,0.8929980276134122,
instruction_heldout,motion,2,340,36,47,10,0.7222222222222222,0.9576923076923076,0.984714138418691,
instruction_heldout,motion_suite_task,2,340,36,47,10,0.7222222222222222,0.9923076923076923,0.9972527472527472,
instruction_heldout,fixed_top20_sae,2,340,36,47,10,0.7222222222222222,0.5,0.7222222222222222,
instruction_heldout,nested_top20_sae,2,340,36,47,10,0.7222222222222222,0.8519230769230769,0.9015470949819278,"f1215,f3504,f9712,f15198,f1219,f11644,f1369,f11836,f4932,f5678,f12441,f4135,f6638,f665,f3236,f11058,f6629,f13874,f13576,f4867"
instruction_heldout,full_sae,2,340,36,47,10,0.7222222222222222,0.95,0.9807352946817829,
instruction_heldout,raw_lr,2,340,36,47,10,0.7222222222222222,0.8807692307692307,0.9515201288956759,
instruction_heldout,raw_pca20,2,340,36,47,10,0.7222222222222222,0.8923076923076922,0.9576585283909995,
instruction_heldout,suite_only,3,275,101,42,15,0.2871287128712871,0.6827107279693486,0.5433492816944177,
instruction_heldout,motion,3,275,101,42,15,0.2871287128712871,0.9995210727969349,0.9988505747126435,
instruction_heldout,motion_suite_task,3,275,101,42,15,0.2871287128712871,1.0,0.9999999999999998,
instruction_heldout,fixed_top20_sae,3,275,101,42,15,0.2871287128712871,0.6111111111111112,0.3411764705882353,
instruction_heldout,nested_top20_sae,3,275,101,42,15,0.2871287128712871,0.6618773946360152,0.6346984777067889,"f1215,f3504,f9712,f11644,f1369,f11836,f5678,f4135,f1219,f4932,f12441,f3236,f15198,f6638,f11058,f13316,f665,f13576,f11911,f13874"
instruction_heldout,full_sae,3,275,101,42,15,0.2871287128712871,0.9506704980842912,0.8935155648899653,
instruction_heldout,raw_lr,3,275,101,42,15,0.2871287128712871,0.9760536398467433,0.962125430556187,
instruction_heldout,raw_pca20,3,275,101,42,15,0.2871287128712871,0.9683908045977012,0.9340463754227777,
instruction_heldout,suite_only,4,316,60,48,9,0.4666666666666667,0.7327008928571428,0.7445001077354019,
instruction_heldout,motion,4,316,60,48,9,0.4666666666666667,1.0,1.0,
instruction_heldout,motion_suite_task,4,316,60,48,9,0.4666666666666667,0.9977678571428571,0.9974929627023222,
instruction_heldout,fixed_top20_sae,4,316,60,48,9,0.4666666666666667,0.515625,0.4745762711864407,
instruction_heldout,nested_top20_sae,4,316,60,48,9,0.4666666666666667,0.8370535714285714,0.8216120835686053,"f1215,f9712,f3504,f15198,f1369,f4932,f11836,f11644,f4135,f5678,f6629,f1219,f665,f12441,f6638,f3236,f13576,f11058,f13874,f9900"
instruction_heldout,full_sae,4,316,60,48,9,0.4666666666666667,0.9810267857142857,0.9820685620467332,
instruction_heldout,raw_lr,4,316,60,48,9,0.4666666666666667,0.9765625,0.9729947468094515,
instruction_heldout,raw_pca20,4,316,60,48,9,0.4666666666666667,0.9899553571428571,0.9875543213974891,
