split,method,fold,n_train,n_test,train_groups,test_groups,fold_spearman,fold_pearson,fold_r2,fold_mae,selected_features
episode_cv,motion_suite_task,3,600,150,600,150,0.9629423529934663,0.4117920264584888,-4.880608558654785,0.09404483437538147,
episode_cv,fixed_top20_sae,3,600,150,600,150,0.2633082964650203,0.30526860608421547,0.05830109119415283,0.18114295601844788,
episode_cv,nested_top20_sae,3,600,150,600,150,0.6361205001817429,0.7801413695692905,0.6009634733200073,0.1172010526061058,"f6629,f9900,f14254,f8132,f15020,f1462,f1642,f11686,f12732,f6676,f1781,f15371,f10213,f2178,f4823,f5876,f1021,f13452,f785,f8857"
episode_cv,full_sae,3,600,150,600,150,0.7578594604204631,0.7917028929549335,0.6230006814002991,0.09779364615678787,
episode_cv,raw_pca20,3,600,150,600,150,0.8256278056802524,0.8275663045730179,0.684808611869812,0.09679588675498962,
episode_cv,suite_only,4,600,150,600,150,0.5148396629010877,0.5941055174350509,0.34938836097717285,0.13171806931495667,
episode_cv,motion,4,600,150,600,150,0.7975305569136406,0.9533929005913591,0.907667875289917,0.05458727478981018,
episode_cv,motion_suite_task,4,600,150,600,150,0.9860153784612649,0.98811096010584,0.9755955934524536,0.022331031039357185,
episode_cv,fixed_top20_sae,4,600,150,600,150,0.3141060601228482,0.34504564781504754,0.1029621958732605,0.17515134811401367,
episode_cv,nested_top20_sae,4,600,150,600,150,0.4987762356909411,0.6885768363183022,0.47357892990112305,0.12304545193910599,"f6629,f9900,f1462,f8132,f14254,f4823,f11686,f13452,f15020,f12732,f1021,f1781,f6676,f8857,f1642,f2751,f3399,f15371,f10083,f785"
episode_cv,full_sae,4,600,150,600,150,0.7977901240055114,0.8177273786424548,0.6650718450546265,0.0957348644733429,
episode_cv,raw_pca20,4,600,150,600,150,0.6888395039779546,0.8273738157768588,0.6837493181228638,0.09426850825548172,
task_heldout,suite_only,0,617,133,96,24,0.4532186405833465,0.5665923208925808,0.31555336713790894,0.12956474721431732,
task_heldout,motion,0,617,133,96,24,0.799109374521786,0.9692551527948601,0.932266354560852,0.047222089022397995,
task_heldout,motion_suite_task,0,617,133,96,24,0.9719600901847563,0.9970238830655789,0.993751585483551,0.014202852733433247,
task_heldout,fixed_top20_sae,0,617,133,96,24,0.44776358985269676,0.46238134908801953,0.10043025016784668,0.15519672632217407,
task_heldout,nested_top20_sae,0,617,133,96,24,0.5071515287540425,0.7323912168621259,0.5181100964546204,0.1052839383482933,"f6629,f9900,f6676,f8132,f14254,f1462,f11686,f15020,f785,f4823,f12732,f13452,f1781,f1021,f5876,f1642,f8857,f4933,f13808,f2178"
task_heldout,full_sae,0,617,133,96,24,0.7379388090307178,0.7536144431441891,0.5614851713180542,0.10242040455341339,
task_heldout,raw_pca20,0,617,133,96,24,0.6324716132257373,0.8360559263590275,0.6953535079956055,0.08323017507791519,
task_heldout,suite_only,1,601,149,96,24,0.5039508146038124,0.5746775590917965,0.3144605755805969,0.15490148961544037,
task_heldout,motion,1,601,149,96,24,0.8118483584255397,0.9669796567559235,0.9281507134437561,0.060135990381240845,
task_heldout,motion_suite_task,1,601,149,96,24,0.9866823870850717,0.9890105110954275,0.9771838188171387,0.029840674251317978,
task_heldout,fixed_top20_sae,1,601,149,96,24,0.19796761280324407,0.2723899662777399,0.04534900188446045,0.19280537962913513,
task_heldout,nested_top20_sae,1,601,149,96,24,0.4430691093778342,0.8049344906040357,0.6400240659713745,0.12263765186071396,"f9900,f6629,f15020,f14254,f6676,f8132,f1462,f15857,f13808,f1021,f8857,f9859,f10213,f15371,f12732,f9090,f1642,f5876,f3399,f4823"
task_heldout,full_sae,1,601,149,96,24,0.7300562307273717,0.8170556636584527,0.620673418045044,0.11759692430496216,
task_heldout,raw_pca20,1,601,149,96,24,0.7354289860330129,0.8759703464258601,0.7163907289505005,0.10172934830188751,
task_heldout,suite_only,2,583,167,96,24,0.7148757802694294,0.7015507750327614,0.4088376760482788,0.12809093296527863,
task_heldout,motion,2,583,167,96,24,0.8560916033681347,0.9574999000170208,0.916222095489502,0.05713124945759773,
