condition,mean_progress_logit_delta,mean_action_shift_l2,mean_translation_shift_l2,mean_rotation_shift_l2,mean_gripper_shift_abs
random20_trial157,0.08663116774357729,0.004411447010127032,0.0037657580055645776,0.0008053196299315876,0.0019378246173627693
random20_trial158,0.0839171172834949,0.0029444333506758323,0.0026781610760511286,0.0007934504701020023,0.0005927490583667604
random20_trial159,0.14146957946790162,0.007865170535436712,0.006958161318206321,0.0014920556113898905,0.0023778003059527282
random20_trial160,-0.011043277530131403,0.004569896183220666,0.00422740268035558,0.001069947582901923,0.0009515710648047015
random20_trial161,0.06001920035680272,0.007115981912182685,0.006562712622917954,0.0008734006818774262,0.0023701653277767368
random20_trial162,0.09525263407671926,0.0036180614468183277,0.0033865574522875977,0.000823507873280221,0.0006171257766187654
random20_trial163,0.03339713532816246,0.0038414064035358865,0.0035522200805612873,0.0005887675831581816,0.0010993187437581303
random20_trial164,0.05696576542425337,0.004793016155045079,0.004200301214751324,0.0011847611820726446,0.0016602811443814096
random20_trial165,0.0738791021824106,0.010088662754009273,0.008162770941256404,0.0020371086045931327,0.005055154396420749
random20_trial166,0.07065092975230808,0.006281810769371933,0.005681787929092728,0.0014292303028849156,0.0015059190721779321
random20_trial167,0.12226687804052042,0.008219611428622715,0.006851055733569597,0.0011204711989331643,0.0037895238633931867
random20_trial168,0.15468291901116385,0.0030898315125218877,0.0029616533219449476,0.0005169759653542203,0.0004896071726736581
random20_trial169,0.10539930474817813,0.005140619438522786,0.004259870869051146,0.0012881593122596403,0.002296068111102847
random20_trial170,0.06668253076023375,0.0035587390929469886,0.002774897216536172,0.0010037257836926538,0.0016687548042370632
random20_trial171,0.09316466342852817,0.004806568934647385,0.004242054657114038,0.0004869875611315471,0.0015859788100483837
random20_trial172,0.08831103849166635,0.006282661850318074,0.0060602435946320535,0.00114659975378984,0.0007613987241899281
random20_trial173,0.07940728242517724,0.006561253090286054,0.006010431514149584,0.0011873427559298006,0.0020388860428418023
random20_trial174,0.1109185332380662,0.003952699956187324,0.0035352031452940665,0.000805483569560787,0.0011553385887419537
random20_trial175,0.13369515087160574,0.005512689505065145,0.005103956175527985,0.0012777306569512791,0.0013237590706461093
random20_trial176,0.09151791423630341,0.003984368249679752,0.0035799012027871906,0.0008736411777050099,0.0012539261472708813
random20_trial177,0.05840085424088334,0.0017857395632370897,0.0015862816733515383,0.00022173834193713155,0.0005974914686136223
random20_trial178,0.08955382882444493,0.009090338440603491,0.008006371324308151,0.0018086695039766087,0.0030770073645800047
random20_trial179,0.05569294359127082,0.0032347043430105927,0.002952959225497111,0.0006751567308716692,0.0009344826089719573
random20_trial180,0.08673760029716124,0.007897951069005633,0.006969486800895217,0.0012784345843370412,0.0025583331460295056
random20_trial181,-0.07481464116070287,0.009647512665817854,0.009019102052764655,0.0012284119643123583,0.0024658800045855894
random20_trial182,0.10623083900121516,0.004124945737942663,0.003638303837424499,0.000994080529825057,0.0014037500048225166
random20_trial183,0.01887568443491104,0.0026763660374227107,0.0022286484380987094,0.00040437043241861847,0.0012605823114431153
random20_trial184,0.16525765405014028,0.011649715545008849,0.008897276718259635,0.0015888681080877488,0.0066524971017480035
random20_trial185,0.07654155229578899,0.006710635227104213,0.006303978079916868,0.001685609947667548,0.0012046434901221606
random20_trial186,0.07006292810113383,0.00642532344665771,0.0061360285646146805,0.001264647137110995,0.00118342381656295
random20_trial187,0.03729540568502079,0.003967130622474278,0.0034936829863550685,0.0005518556930712283,0.0016258359565056216
random20_trial188,0.1084376371151367,0.0042170111178260455,0.004022351306957215,0.0008035930885422909,0.0007141945386918536
random20_trial189,0.08583357971453812,0.004110261376273589,0.003269838126721489,0.001542962951690584,0.0015371485381043826
random20_trial190,0.09831863546027401,0.003270390886334117,0.0028730289013358255,0.0005970252352684696,0.0011916056994622786
random20_trial191,0.07827879878652255,0.006769130020142161,0.006046104643875244,0.0021124370077613133,0.001493467417684684
random20_trial192,0.1795368671921387,0.007386616785127803,0.006256999496859228,0.0014326070852732362,0.0028765459455207636
random20_trial193,-0.0009655049466282447,0.0026656108128061103,0.0025291940105085352,0.00036104899919237943,0.0006152988672447565
random20_trial194,0.11111491257963332,0.005729883706540788,0.005382968815677947,0.0017138304996260638,0.0004605332939750566
random20_trial195,0.11390078178259161,0.005658288099376949,0.004620988899218319,0.0010529969537622559,0.0024472717532385674
random20_trial196,0.06017277839787677,0.0058662450955412225,0.004934790702776389,0.0008740468579389108,0.0026615016015624528
