feature_set,is_random_control,suite,task_idx,condition,plan_index,baseline_success,clamped_success,baseline_any_violation,clamped_any_violation,baseline_collision,clamped_collision,action_delta_active_mean_l2,action_delta_active_translation_mean_l2,action_delta_active_rotation_mean_l2,action_delta_active_gripper_mean_abs,action_delta_active_fraction,success_delta,any_violation_delta,collision_delta
random10_high_class_mean_02,True,spatial,7,clean,18,0,0,1,1,1,1,0.9177777171134949,0.2744644582271576,0.06059844791889191,0.7099999785423279,0.9090909090909091,0,0,0
random10_high_class_mean_02,True,spatial,8,clean,3,1,1,1,1,1,1,0.30787336826324463,0.27831313014030457,0.0439012385904789,0.027027027681469917,0.7872340425531915,0,0,0
random10_high_class_mean_02,True,spatial,8,strong,14,0,0,1,1,1,1,1.2569224834442139,0.46528786420822144,0.09410971403121948,1.0146729946136475,0.9090909090909091,0,0,0
top10_high_class_mean,False,goal,4,strong,17,0,0,1,1,0,1,1.0933564901351929,0.6339976787567139,0.0564611554145813,0.6197293400764465,0.9333333333333333,0,0,1
top10_high_class_mean,False,goal,5,mild,5,0,0,1,1,1,1,0.7192003130912781,0.6759780645370483,0.11301098018884659,0.042001888155937195,0.9333333333333333,0,0,0
top10_high_class_mean,False,goal,6,clean,10,1,1,1,1,1,1,0.6133887767791748,0.3735015094280243,0.055078186094760895,0.27368420362472534,0.8260869565217391,0,0,0
top10_high_class_mean,False,goal,8,clean,19,1,1,0,1,0,1,0.262890100479126,0.1845702826976776,0.04725546017289162,0.07692307978868484,0.7959183673469388,0,1,1
top10_high_class_mean,False,long,0,clean,2,0,0,1,1,0,1,0.8338645696640015,0.48654597997665405,0.0,0.4440000057220459,0.9615384615384616,0,0,1
top10_high_class_mean,False,long,0,clean,15,0,0,1,1,0,1,0.8338645696640015,0.48654597997665405,0.0,0.4440000057220459,0.9615384615384616,0,0,1
top10_high_class_mean,False,long,1,clean,6,0,0,1,1,0,0,0.8369947671890259,0.7036595344543457,0.0,0.20000000298023224,0.9615384615384616,0,0,0
top10_high_class_mean,False,long,2,clean,20,0,0,1,1,1,0,0.9300025701522827,0.918775737285614,0.0,0.01600000075995922,0.9615384615384616,0,0,-1
top10_high_class_mean,False,long,2,clean,22,0,0,1,1,1,0,0.9300025701522827,0.918775737285614,0.0,0.01600000075995922,0.9615384615384616,0,0,-1
top10_high_class_mean,False,long,4,strong,23,0,0,1,1,0,0,0.35120049118995667,0.305841863155365,0.0,0.05876835808157921,0.9615384615384616,0,0,0
top10_high_class_mean,False,long,6,clean,0,0,0,1,1,1,1,0.44363123178482056,0.391776442527771,0.0,0.06400000303983688,0.9615384615384616,0,0,0
top10_high_class_mean,False,object,2,clean,7,1,1,1,1,1,1,1.1227552890777588,0.6994968056678772,0.04585545137524605,0.6290322542190552,0.8611111111111112,0,0,0
top10_high_class_mean,False,object,2,mild,13,1,1,1,1,1,1,0.16567851603031158,0.0944763794541359,0.017046645283699036,0.0705091655254364,0.8076923076923077,0,0,0
top10_high_class_mean,False,object,5,clean,9,1,1,1,1,0,0,0.5750377178192139,0.4389079213142395,0.058676742017269135,0.19512194395065308,0.8601398601398601,0,0,0
top10_high_class_mean,False,object,7,clean,16,1,1,1,1,0,1,0.29641661047935486,0.21928256750106812,0.05575738102197647,0.0784313753247261,0.8360655737704918,0,0,1
top10_high_class_mean,False,object,8,strong,11,0,0,1,1,1,1,0.13315077126026154,0.081572987139225,0.020020844414830208,0.05994537100195885,0.9285714285714286,0,0,0
top10_high_class_mean,False,object,8,mild,12,0,0,1,1,1,1,0.4632132351398468,0.2539442479610443,0.060774244368076324,0.2591302990913391,0.9285714285714286,0,0,0
top10_high_class_mean,False,spatial,1,clean,1,1,1,1,1,1,1,0.42500928044319153,0.34833475947380066,0.06406693905591965,0.07594936341047287,0.797979797979798,0,0,0
top10_high_class_mean,False,spatial,1,mild,4,1,0,0,1,0,1,0.3138761520385742,0.2722655236721039,0.07049886137247086,0.026899438351392746,0.7849462365591398,-1,1,1
top10_high_class_mean,False,spatial,6,clean,8,1,1,1,1,1,1,0.23595058917999268,0.1970716118812561,0.05940253660082817,0.025316456332802773,0.797979797979798,0,0,0
top10_high_class_mean,False,spatial,6,mild,21,1,1,1,0,1,0,0.39461323618888855,0.2836434245109558,0.05960733816027641,0.11586730182170868,0.8095238095238095,0,-1,-1
top10_high_class_mean,False,spatial,7,clean,18,0,0,1,0,1,0,1.2273776531219482,0.6202143430709839,0.08366183191537857,0.8199999928474426,0.9090909090909091,0,-1,-1
top10_high_class_mean,False,spatial,8,clean,3,1,1,1,1,1,1,0.3901100754737854,0.35564473271369934,0.07416380196809769,0.025316456332802773,0.797979797979798,0,0,0
top10_high_class_mean,False,spatial,8,strong,14,0,0,1,1,1,1,1.1919347047805786,0.4607120454311371,0.09256413578987122,0.926292896270752,0.9090909090909091,0,0,0
