feature_idx,feature_col,p_value,effect_size,abs_effect_size,mean_low_progress,mean_high_progress,direction,in_submitted_top20,adjusted_p,significant
3720,f3720,0.31989151063570387,-0.10341440470041123,0.10341440470041123,3.413292034430053e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
14845,f14845,0.31989151063570387,-0.10341439717769005,0.10341439717769005,3.405116458839521e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
12799,f12799,0.31989151063570387,0.10341437797221134,0.10341437797221134,0.0,3.384420786924787e-05,higher_in_high_progress,False,0.38255499280564464,False
7341,f7341,0.31989151063570387,0.1034143775908133,0.1034143775908133,0.0,3.384012342529681e-05,higher_in_high_progress,False,0.38255499280564464,False
11320,f11320,0.31989151063570387,0.10341437706308786,0.10341437706308786,0.0,3.383447356680585e-05,higher_in_high_progress,False,0.38255499280564464,False
7273,f7273,0.31989151063570387,-0.10341437046451442,0.10341437046451442,3.376398780482234e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
2983,f2983,0.31989151063570387,-0.10341436999298012,0.10341436999298012,3.3758962130609576e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
12681,f12681,0.31989151063570387,0.103414368861097,0.103414368861097,0.0,3.374690447557447e-05,higher_in_high_progress,False,0.38255499280564464,False
11731,f11731,0.31989151063570387,0.10341435975530887,0.10341435975530887,0.0,3.365021535849308e-05,higher_in_high_progress,False,0.38255499280564464,False
14740,f14740,0.31989151063570387,-0.10341435797920559,0.10341435797920559,3.363142047632234e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
5042,f5042,0.31989151063570387,-0.1034143517201419,0.1034143517201419,3.356535354272447e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
12447,f12447,0.31989151063570387,0.10341435092617551,0.10341435092617551,0.0,3.355699145492713e-05,higher_in_high_progress,False,0.38255499280564464,False
10895,f10895,0.31989151063570387,-0.10341435078267375,0.10341435078267375,3.3555480532664895e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
16107,f16107,0.31989151063570387,0.10341435066715714,0.10341435066715714,0.0,3.355426436408989e-05,higher_in_high_progress,False,0.38255499280564464,False
5458,f5458,0.31989151063570387,-0.10341435006873685,0.10341435006873685,3.3547965552102664e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
15255,f15255,0.31989151063570387,0.10341434704520003,0.10341434704520003,0.0,3.351617673847872e-05,higher_in_high_progress,False,0.38255499280564464,False
414,f414,0.31989151063570387,-0.1034143444179854,0.1034143444179854,3.348860364565798e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
5675,f5675,0.31989151063570387,0.10341434053581382,0.10341434053581382,0.0,3.344794249835798e-05,higher_in_high_progress,False,0.38255499280564464,False
15619,f15619,0.31989151063570387,-0.10341433224882922,0.10341433224882922,3.3361475637301065e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
3941,f3941,0.31989151063570387,0.10341433041181852,0.10341433041181852,0.0,3.334236866299096e-05,higher_in_high_progress,False,0.38255499280564464,False
9030,f9030,0.31989151063570387,-0.10341433018829986,0.10341433018829986,3.334004531039787e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
