trial,n,top20_auroc,top20_pr_auc,welch_fdr_significant_count,max_abs_train_effect,selected_features
85,376,0.760284631054776,0.7658715153772133,351,0.018403355889220478,"f6638,f3236,f1369,f9712,f13874,f1215,f3504,f15198,f11836,f13576,f4135,f11644,f12441,f665,f4932,f11058,f1219,f5678,f2830,f827"
86,376,0.7965284065187869,0.8005795123963401,339,0.01811007710986154,"f1369,f665,f6638,f9712,f1215,f4135,f3236,f13576,f3504,f13874,f4932,f11836,f15198,f7060,f2830,f5678,f12441,f13898,f11058,f11644"
87,376,0.8000792213671344,0.7991806128224302,313,0.018939960416049693,"f1369,f6638,f3236,f1215,f9712,f13874,f3504,f13576,f4135,f11836,f5678,f11058,f4932,f665,f11644,f4867,f15198,f12441,f1219,f11738"
88,376,0.7912658442734269,0.8163904707896587,338,0.018387759555170802,"f6638,f13874,f1369,f665,f3236,f13576,f9712,f1219,f3504,f4135,f1215,f4932,f11836,f15198,f11644,f12441,f15040,f11058,f5678,f4867"
89,376,0.7917751244907199,0.8149800407024349,336,0.01876434366258374,"f1369,f3236,f6638,f4135,f9712,f3504,f13874,f15198,f1215,f11836,f665,f5678,f12441,f13576,f11058,f4867,f7060,f13898,f4932,f11644"
90,376,0.7733985966500679,0.7663276000092274,362,0.01866506826271241,"f1369,f13874,f6638,f15198,f3236,f9712,f3504,f1215,f4135,f13576,f11836,f665,f5678,f11058,f11644,f12441,f1219,f2830,f4932,f827"
91,376,0.7726205296514259,0.7737180025273778,338,0.018149209639770847,"f6638,f15198,f4135,f1369,f9712,f13576,f3504,f3236,f665,f13874,f1215,f11836,f11644,f4932,f5678,f12441,f2830,f7060,f11058,f4867"
92,376,0.7597329108193753,0.7462899230527471,361,0.01800525892387201,"f1369,f6638,f3236,f665,f13874,f9712,f15198,f3504,f1215,f13576,f4135,f4867,f11836,f12441,f7060,f11644,f13898,f11058,f2830,f827"
93,376,0.7656320733363512,0.780494816428034,391,0.018630627706210955,"f6638,f1369,f3236,f9712,f3504,f665,f4135,f1215,f11836,f13874,f11058,f15198,f5678,f13576,f12441,f11644,f1219,f4932,f4867,f7060"
94,376,0.7792411724762335,0.7697079302020142,363,0.018797636344196608,"f1369,f6638,f9712,f3504,f15198,f4135,f665,f1215,f11836,f13576,f13874,f3236,f11644,f12441,f1219,f11058,f5678,f7060,f4932,f827"
95,376,0.7654481665912178,0.7625735781709826,334,0.018484574935815096,"f1369,f6638,f9712,f4135,f3504,f3236,f13874,f1215,f13576,f4932,f11836,f665,f11058,f5678,f15198,f11644,f7060,f12441,f4867,f2830"
96,376,0.7820846536894521,0.7960074021299148,362,0.017593391611181335,"f6638,f665,f13576,f1369,f9712,f3504,f13874,f15198,f1215,f11644,f4932,f3236,f4867,f11836,f6561,f4135,f7060,f1219,f12441,f5678"
