trial,control_type,auroc,pr_auc,selected_features
68,matched_random20,0.6720518334087823,0.6572251931865978,"f13250,f10746,f15433,f6633,f3219,f15167,f5110,f14771,f1056,f8478,f14359,f14678,f3453,f1739,f7205,f14055,f3865,f838,f9108,f12114"
69,matched_random20,0.8082701448619286,0.8010033435326945,"f10436,f684,f15091,f7887,f15837,f11738,f8544,f8577,f7664,f9203,f4854,f4560,f495,f8553,f674,f1413,f2655,f15541,f15592,f11106"
70,matched_random20,0.5607882526029878,0.5408980572768517,"f12047,f571,f224,f7696,f9432,f1974,f6690,f11025,f8170,f13273,f1547,f3899,f13202,f16183,f750,f7516,f10161,f3723,f1856,f6905"
71,matched_random20,0.7204051607062019,0.6574122109529839,"f11987,f13975,f9428,f7696,f578,f13900,f8469,f16260,f9509,f6478,f15299,f15810,f5682,f10292,f10270,f13072,f943,f10637,f5412,f7724"
72,matched_random20,0.7389514486192847,0.7407900116760076,"f3259,f4893,f10708,f10825,f4532,f14275,f7903,f11595,f9111,f12403,f2862,f9147,f15503,f2403,f4594,f7819,f7879,f11106,f7833,f11422"
73,matched_random20,0.707828768673608,0.6423956104522882,"f6529,f5932,f7831,f7117,f5078,f4793,f5199,f15980,f50,f3265,f16106,f470,f2859,f11477,f10634,f11604,f5786,f14352,f5726,f9460"
74,matched_random20,0.7427569035762789,0.6708850841545293,"f16171,f12063,f6070,f4486,f7965,f863,f4072,f64,f11153,f9874,f10913,f9833,f6061,f8799,f2419,f10452,f11877,f5555,f3944,f6803"
75,matched_random20,0.6111079674060662,0.6126755393535803,"f9360,f6894,f9354,f7696,f8971,f11757,f16317,f4718,f8117,f9952,f5873,f2388,f12234,f11403,f9372,f4333,f14085,f14328,f5740,f137"
76,matched_random20,0.6549343594386601,0.6466335375940878,"f5877,f12234,f6070,f7696,f7871,f2607,f15496,f15806,f4004,f7667,f8475,f407,f2413,f3518,f15749,f5486,f5555,f7801,f2388,f15553"
77,matched_random20,0.6236985061113626,0.5793124379206941,"f12928,f14175,f5683,f496,f9941,f439,f6014,f1332,f1202,f6886,f2165,f10560,f7756,f11754,f12496,f4154,f4560,f8003,f14707,f6362"
78,matched_random20,0.6934840425531915,0.6251500623326478,"f16159,f13442,f1159,f14042,f8635,f13276,f13891,f2169,f825,f14803,f5638,f6856,f15199,f833,f13080,f3403,f3575,f9239,f9995,f11659"
79,matched_random20,0.7666789271163422,0.7438124858829189,"f16159,f16183,f7382,f8976,f13491,f2493,f15283,f9413,f16150,f3717,f15321,f1468,f6083,f10843,f4004,f8671,f789,f356,f12760,f5146"
80,matched_random20,0.6189310774105931,0.6117690334028651,"f4242,f3365,f1336,f9617,f11588,f8472,f11560,f3720,f9873,f15858,f6962,f12923,f9860,f5768,f10342,f12348,f16354,f8273,f3648,f12356"
